발명의명칭,출원인,출원일자,심사진행상태
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.06.21,
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.06.12,
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.07.01,
마이크로 LED를 이용한 디스플레이 장치 및 이의 제조 방법(DISPLAY DEVICE USING MICRO LED AND MANUFACTURING METHOD THEREOF),엘지전자 주식회사(서울특별시 영등포구...),2019.06.11,
LED 표시장치(Light emitting diode(LED) display device),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.08.29,
마이크로-LED 표시장치(micro-light emitting diode(LED) display device),엘지디스플레이 주식회사(서울특별시 영등포구...),2019.08.23,
마이크로LED 표시장치 및 그 구동방법(MICRO LED DISPLAY DEVICE AND METHOD OF DRIVING THEREOF),엘지디스플레이 주식회사(서울특별시 영등포구...),2017.12.15,등록결정(일반)
조명용 광지향 필름 및 이를 이용한 LED조명장치(LIGHT DIRECTING FILM FOR LIGHT AND LED LIGHTING APPARATUS USING THE SAME),주식회사 엘지화학(서울특별시 영등포구...),2013.06.18,등록결정(일반)
LED 프로젝션 시스템의 LED 소자 방열장치(LED COOLING APPARATUS OF LED PROJECTION SYSTEM),엘지전자 주식회사(서울특별시 영등포구...),2007.09.03,등록결정(취소환송후)
LED 조명기구(LED Lighting Device),엘지전자 주식회사(서울특별시 영등포구...),2010.06.24,등록결정(일반)
프로젝션 시스템의 발광 다이오드(LED) 조명장치(LED LIGHT DEVICE of Projection System),엘지전자 주식회사(서울특별시 영등포구...),2004.09.07,등록결정(일반)
LED 패키지 및 이를 포함하는 액정표시장치모듈(LED PACKAGE AND LCD MODULE INCLUDING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2010.12.09,취하(심사미청구)
"LED 구동회로와 이를 이용한 백 라이트 유닛 및 액정표시장치(LED DRIVING CIRCUIT, BACK LIGHT AND LIQUID CRYSTAL DISPLAY DEVICE USING THE SAME)",엘지디스플레이 주식회사(서울특별시 영등포구...),2007.11.27,등록결정(일반)
ESD 보호층을 포함한 LED 용 기판 및 이를 이용한 LED 패키지 및 이의 제조방법(SUBSTRATE FOR LIGHT EMITTING DIODE COMPRISING ELECTROSTATIC DISCHARGE PROTECT LAYER AND LED PACKAGE USING THE SAME AND MANUFACTURING METHOD THEREOF),엘지이노텍 주식회사(서울특별시 강서구...),2010.01.20,등록결정(일반)
LED 패키지 및 이를 포함하는 백라이트 유닛(LED PAKAGE AND BACKLIGHT UNIT INCLUDING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2010.11.17,취하(등록결정전 취하서제출)
LED 패키지(LED Package),엘지이노텍 주식회사(서울특별시 강서구...),2006.02.23,등록결정(심사전치후)
고출력 LED 패키지(High Power LED Package),엘지전자 주식회사(서울특별시 영등포구...),2004.06.10,등록결정(일반)
LED 모듈 및 이를 구비하는 백라이트 유닛(LED module and backlight unit having the same),엘지이노텍 주식회사(서울특별시 강서구...),2007.03.19,원결정유지(심사전치)
LED 면광원 및 이를 이용한 투사표시장치(LED suface emitting source and projection displaysystem of the same),엘지전자 주식회사(서울특별시 영등포구...),2004.10.04,등록결정(심사전치후)
"LED 패키지 및 그 제조방법과 LED 패키지를 갖는 광원 유닛(Light Emitting Diode Pakage, Method for Manufacturing the Same and Light Source Unit Having the LED Pakage)",엘지디스플레이 주식회사(서울특별시 영등포구...),2009.02.17,등록결정(일반)
