발명의명칭,출원인,출원일자,심사진행상태
상변화 기억 소자의 제조방법(METHOD OF MANUFACTURING PHASE CHANGE RAM DEVICE),에스케이하이닉스 주식회사(경기도 이천시...),2007.08.09,취하(심사미청구)
상변화 기억 소자의 제조방법(Method of manufacturing phase change RAM device),에스케이하이닉스 주식회사(경기도 이천시...),2007.08.03,취하(심사미청구)
상변화 기억 소자 및 그 제조방법(Phase change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2007.07.20,등록결정(일반)
상변화 기억 소자 및 그 제조방법(Phase change RAM device and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2007.07.20,취하(심사미청구)
피엔 다이오드를 이용한 상변화 기억 소자 및 그 제조방법(Phase change RAM device using PN diode and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2007.07.03,취하(심사미청구)
피엔 다이오드를 이용한 상변화 기억 소자(Phase change RAM device using PN diode),에스케이하이닉스 주식회사(경기도 이천시...),2007.07.03,취하(심사미청구)
PN 다이오드를 이용한 상변화 기억 소자 및 그의제조방법(PHASE CHANGE RAM DEVICE USING PN DIODE AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2007.06.29,취하(심사미청구)
상 변화 기억 소자 및 그의 제조방법(PHASE CHANGE RAM DEVICE AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2007.06.29,취하(심사미청구)
PN 다이오드를 이용한 상변화 기억 소자 및 그의제조방법(PHASE CHANGE RAM DEVICE USING PN DIODE AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2007.06.29,취하(심사미청구)
피엔 다이오드를 이용한 상변환 기억 소자 및 그의제조방법(Phase change RAM device using PN diode and method of manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...),2007.07.03,취하(심사미청구)
상변화 기억 소자 및 그의 제조방법(PHASE CHANGE RAM DEVICE USING AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...),2007.06.26,취하(심사미청구)
