발명의명칭,출원인,출원일자,심사진행상태
비휘발성 메모리에 저장된 데이터의 안전 처리방법(Method for processing the data in the non volatilization RAM safely),삼성전자주식회사(경기도 수원시 영통구...),1999.08.23,등록결정(일반)
결함을 고려한 디지털비디오디스크-램의 초기화 방법(Method for initializing digital video disc-RAM consideringdefect),삼성전자주식회사(경기도 수원시 영통구...),1999.06.15,취하(심사미청구)
홀수트랙 점프의 트래킹 서보 제어가 가능한 디브이디-램디스크(A TRACKING SERVO CONTROL APPARATUS CAPABLE OF CONTROLLING ODD TRACK JUMP IN DVD-RAM DRIVE AND METHOD THEREFOR),삼성전자주식회사(경기도 수원시 영통구...),1999.01.30,취하(심사미청구)
램과 포트를 갖는 트랜스퍼 몰딩 장치(TRANSFER MOLDING APPARATUS HAVING RAM AND PORT),삼성전자주식회사(경기도 수원시 영통구...),1998.12.18,취하(심사미청구)
평가 칩의 램 확장 컨트롤 회로_(CIRCUIT FOR CONTROLLING RAM EXPANSION OF EVALUATION CHIP),삼성전자주식회사(경기도 수원시 영통구...),1998.10.21,취하(심사미청구)
내장 램의 테스트 시간이 단축된 마이크로 컨트롤러(MICRO CONTROLLER FOR REDUCING TEST TIME OF RAM),삼성전자주식회사(경기도 수원시 영통구...),1998.09.11,취하(심사미청구)
그래픽램및그래픽램을내장한액정표시장치드라이버(GRAPHIC RAM AND LIQUID CRYSTAL DISPLAY DRIVER EMBODYING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),1998.07.09,등록결정(일반)
DVD램 드라이브에 있어서 트랙 이탈시의 에러 정정 방법 및그 장치(APPARATUS AND METHOD OF ERROR CORRECTION IN STRAYING TRACK OF DVD RAM DRIVE),삼성전자주식회사(경기도 수원시 영통구...),1998.06.17,등록결정(일반)
"디지털 비디오 디스크램의 채널데이터 추출장치(DEVICE FOR EXTRACTING CHANNEL DATA IN A DIGITAL VIDEO DISK RAM, PARTICULARLY WITH REGARDS TO EXTRACTING STABLE CHANNEL DATA BY EXACTLY DISTINGUISHING A PEAK HEADER SECTION FROM A BOTTOM HEADER SECTION IN THE SECOND READ CHANNEL SIGNAL)",삼성전자주식회사(경기도 수원시 영통구...),1998.05.30,등록결정(일반)
"팩시밀리의 활동관리 방법(METHOD FOR MANAGEMENT OF ACTIVITIES IN A FACSIMILE, ESPECIALLY FOR MANAGEMENT OF TRANSCEIVING DATA, USING A DYNAMIC RAM AND A FLASH MEMORY, BUT NOT USING A STATIC RAM AND A BACKUP BATTERY)",삼성전자주식회사(경기도 수원시 영통구...),1998.04.30,취하(심사미청구)
"내장형 램의 에러 체크 방법(ERROR CHECK METHOD OF BUILT-IN RAM, ESPECIALLY FOR INSPECTING AN ERROR GENERATION OF RAM DATA)",삼성전자주식회사(경기도 수원시 영통구...),1998.03.18,취하(심사미청구)
HRAM을이용한멀티레벨독출회로(),삼성전자주식회사(경기도 수원시 영통구...),1986.10.29,등록결정(일반)
강유전체램장치와그것의독출및기입방법들(FERROELECTRIC RAM AND READ AND WRITE METHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...),1998.03.03,등록결정(일반)
"디이브이디-램시스템에서디스크의물리적결함정보의처리방법(METHOD FOR PROCESSING PHYSICAL DEFECT INFORMATION ON A DISK IN A DVD-RAM SYSTEM, ESPECIALLY WITH REGARDS TO ENABLING A MICROCOMPUTER TO EFFECTIVELY STORE A DEFECT LIST IN A DEFECT LIST AREA OF A MEMORY WITHOUT BEING LIMITED BY AN EXECUTION OF OTHER COMMAND)",삼성전자주식회사(경기도 수원시 영통구...),1998.02.17,등록결정(일반)
"램의 일부를 롬으로 전환가능한 메모리 인터페이스(MEMORY INTERFACE CAPABLE OF CONVERTING A PART OF A RAM INTO A ROM, ESPECIALLY FOR FLEXIBLY PARTITIONING A MEMORY ACCORDING TO USER'S REQUIREMENT)",삼성전자주식회사(경기도 수원시 영통구...),1998.01.22,취하(심사미청구)
디브이디-램(DVD-RAM FOR RECORDING AN IMAGE DATA FOR 120 MINUTES AND HAVING A NEW FORMAT WHICH IS 4.7 GBYTE CAPACITY),삼성전자주식회사(경기도 수원시 영통구...),1997.12.31,취하(등록결정전 취하서제출)
마이컴을 이용한 디브이디-램 시스템에 대한 헤더의 피아이디검출 방법(Method for detecting the PID of a header on DVD RAM system using a microcomputer),삼성전자주식회사(경기도 수원시 영통구...),1997.12.30,등록결정(일반)
디지탈 다기능 디스크-램의 재생신호 보상장치(Compensator for the reproducing signal of a digital multifunctional disc RAM),삼성전자주식회사(경기도 수원시 영통구...),1997.12.30,등록결정(일반)
스태이틱 램을 이용한 시그널링시스템 넘버.7 신호처리장치(DEVICE FOR PROCESSING SIGNALING SYSTEM NO. 7 SIGNAL BY USING STATIC RAM),삼성전자주식회사(경기도 수원시 영통구...),1997.12.30,등록결정(일반)
디브이디-램의헤더검출방법(HEADER DETECTION METHOD FOR DVD-RAM),삼성전자주식회사(경기도 수원시 영통구...),1997.12.26,등록결정(일반)
자동 성형기의 플런저(PLUNGER FOR AN AUTO MOLDING MACHINE ESPECIALLY FOR PREVENTING A MOLD FROM BEING DAMAGED BY COMBINING ADAPTERS WITH A RAM-TIP),삼성전자주식회사(경기도 수원시 영통구...),1997.12.19,취하(심사미청구)
"램 사용 방법 및 장치(METHOD AND AN APPARATUS FOR APPLYING A RAM, ESPECIALLY FOR REDUCING THE DISSIPATION OF A 16-BIT RAM)",삼성전자주식회사(경기도 수원시 영통구...),1997.12.22,취하(심사미청구)
"개인 휴대용 단말기의 데이터 백업 장치(DATA BACKUP APPARATUS OF A PERSONAL PORTABLE TERMINAL, ESPECIALLY FOR SAFELY RESERVING DATA STORED IN A RAM ALTHOUGH POWER VOLTAGE IS LOWERED)",삼성전자주식회사(경기도 수원시 영통구...),1997.12.10,취하(등록결정전 취하서제출)
에프램(FRAM)소자의제조방법(METHOD FOR FABRICATING FRAM TO PREVENT HYDROGEN FROM PENETRATING PZT DIELECTRIC LAYER AND AVOID DETERIORATION OF HYSTERESIS CHARACTERISTIC OF PZT DIELECTRIC LAYER),삼성전자주식회사(경기도 수원시 영통구...),1997.12.11,등록결정(일반)
디지털 비디오 디스크-램 시스템에서 데이터의 기록 또는재생시 디펙트 섹터 검출장치 및 방법(Device and method for detecting defect sector in recording or reproducing data in a digital video disc-RAM system),삼성전자주식회사(경기도 수원시 영통구...),1997.12.08,등록결정(일반)
"데이터 저장 방법 및 그 장치(METHOD AND AN APPARATUS FOR STORING DATA, ESPECIALLY RELATED TO INCREASING CONVENIENCE BY TRANSMITTING COMMAND OR DATA TO A RAM AND TRANSFERRING THE COMMAND OR DATA TO A PRINTER DRIVER FOR PRINT OUT)",삼성전자주식회사(경기도 수원시 영통구...),1997.11.06,취하(심사미청구)
"입출력 모듈 전용 정적램 초기화 장치 및 방법(INPUT/OUTPUT MODULE DEDICATED STATIC RAM INITIALIZATION APPARATUS AND ITS METHOD, IN WHICH AN INITIALIZATION OPERATION IS PERFORMED BY ONLY WRITING DATA TO BE INITIALIZED IN ADDRESSES)",삼성전자주식회사(경기도 수원시 영통구...),1997.10.13,등록결정(일반)
