발명의명칭,출원인,출원일자,심사진행상태
액정표시장치용 박막트랜지스터 제조방법(METHOD FOR FABRICAING THIN FILM TRANSISTOR OF LIQUID CRYSTAL DISPLAY DEVICE),엘지디스플레이 주식회사(서울특별시 영등포구...),2009.12.18,등록결정(일반)
"박막 트랜지스터, 박막 트랜지스터를 포함하는 평판 표시장치 및 평판 표시 장치의 제조 방법(thin film transistor, flat panel display device having it and method of fabricating the same)",엘지디스플레이 주식회사(서울특별시 영등포구...),2006.12.13,등록결정(일반)
박막 트랜지스터 어레이 기판 및 그 제조방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND METHOD FOR FABRICATING THEREOF),엘지디스플레이 주식회사(서울특별시 영등포구...),2006.11.28,등록결정(일반)
트랜지스터 기판 및 이를 포함하는 디스플레이 장치(TRANSISTOR SUBSTRATE AND DISPLAY DEVICE COMPRISING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.12.11,거절결정(일반)
"단차가 있는 패턴 형성방법, 그를 이용한 박막트랜지스터형성방법 및 액정표시소자 제조방법(Method of forming pattern having a step difference,method of making a thin film transistor and a LiquidCrystal Display Device using the same)",엘지디스플레이 주식회사(서울특별시 영등포구...),2004.12.17,등록결정(일반)
산화물 박막 트랜지스터 제조방법 및 이를 이용한 유기발광표시장치 제조방법(Oxide Thin Film Transistor and Method for fabricating Organic Light Emitting Display Device using the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2011.08.30,등록결정(일반)
박막트랜지스터 제조방법(METHOD FOR FABRICATING THIN FILM TRANSISTOR),엘지디스플레이 주식회사(서울특별시 영등포구...),2009.12.07,등록결정(일반)
박막 트랜지스터 기판과 그 제조방법 및 그를 이용한 디스플레이 장치(Thin film transistor substrate and method of manufacturing the same and Display Device using the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2014.09.30,등록결정(일반)
유기발광다이오드 표시장치의 구동트랜지스터 특성 검출방법(The Method for Detecting of Driving Transistor Charactics of Organic Light Emitting diode Display),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.11.21,등록결정(일반)
박막 트랜지스터 어레이 기판 및 이의 제조 방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND METHOD OF FABRICATING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.06.24,등록결정(일반)
박막 트랜지스터 기판 및 그를 이용한 디스플레이 장치(Thin film transistor substrate and Display Device using the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.11.30,등록결정(재심사후)
박막 트랜지스터 어레이 기판 및 그 제조방법(THIN FILM TRANSISTOR ARRAY SUBSTRATE AND METHOD OF FABRICATING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2010.12.30,등록결정(일반)
박막트랜지스터 기판 및 이의 제조 방법(Thin film transistor array substrate and method for fabricating the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.02.28,등록결정(재심사후)
"유기 박막 트랜지스터, 그 제조방법, 및 그를 이용한액정표시소자(Organic thin film transistor, method of the same, andLiquid crystal Display Device using the same)",엘지디스플레이 주식회사(서울특별시 영등포구...),2004.12.03,등록결정(일반)
폴리 실리콘형 박막 트랜지스터 기판 및 제조 방법(Thin Film Transistor Substrate Of Poly Silicon TypeAnd Method of Fabricating The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2004.11.04,등록결정(일반)
박막 트랜지스터 기판 및 이를 이용한 표시장치(Thin Film Transistor Substrate And Display Using The Same),엘지디스플레이 주식회사(서울특별시 영등포구...),2015.02.24,등록결정(일반)
박막 트랜지스터 기판 및 그를 이용한 디스플레이 장치(Thin film transistor substrate and Display Device using the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.08.30,등록결정(일반)
박막 트랜지스터와 디스플레이 장치 및 그들의 제조방법(Thin film transistor and Display Device and Method of manufacturing the sames),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.11.15,등록결정(일반)
씨오티 구조 액정표시장치 및 그 제조방법(Color Filter on Thin Film Transistor Array StructureLiquid Crystal Display Device and Method forfabricating the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2003.06.25,등록결정(취소환송후)
박막트랜지스터 기판 및 그를 구비한 표시장치(THIN FILM TRANSISTOR AND DISPLAY DIVICE HAVING THE SAME),엘지디스플레이 주식회사(서울특별시 영등포구...),2016.07.29,등록결정(일반)
산화물 박막 트랜지스터의 제조 방법(METHOD FOR FABRICATING OXIDE THIN FILM TRANSISTOR),엘지디스플레이 주식회사(서울특별시 영등포구...),2012.11.29,등록결정(일반)
다결정 실리콘 박막트랜지스터(Thin film Transistor using poly silicon),엘지디스플레이 주식회사(서울특별시 영등포구...),2005.11.02,등록결정(일반)
유기 반도체물질을 이용한 박막트랜지스터 어레이 기판 및그의 제조 방법(The thin film transistor array substrate using organicsemiconductor material and method of fabricating thesame),엘지디스플레이 주식회사(서울특별시 영등포구...),2005.04.06,등록결정(일반)
액정표시장치용 어레이 기판의 제조방법(method for manufacturing of thin film transistor array panel liquid crystal display),엘지디스플레이 주식회사(서울특별시 영등포구...),2003.05.23,등록결정(일반)
박막 트랜지스터 어레이 기판 및 그 제조 방법(Thin film transistor array substrate and method for fabricating the same),엘지디스플레이 주식회사(서울특별시 영등포구...),2013.11.29,등록결정(일반)
