발명의명칭,출원인,출원일자,심사진행상태
버텀리드형 패키지 검사용 소켓(SOCKET FOR TESTING BOTTOM LEAD PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1999.05.06,취하(심사미청구)
스택패키지의리드프레임접합장치및이를이용한접합방법(LEAD FRAME BONDING APPARATUS FOR STACK PACKAGE AND BONDING METHOD USING THEM),에스케이하이닉스 주식회사(경기도 이천시...),1998.12.26,등록결정(일반)
테이프캐리어패키지제조공정용인너리드본딩장치의구조(STRUCTURE OF INNER LEAD BONDING DEVICE FOR TAPE CARRIER PACKAGE MANUFACTURING PROCESS),에스케이하이닉스 주식회사(경기도 이천시...),1998.12.29,등록결정(일반)
저면리드형패키지제조방법(METHOD FOR MANUFACTURING LOWER SIDE LEADING TYPE PACKAGE),에스케이하이닉스 주식회사(경기도 이천시...),1998.10.28,거절결정(일반)
적층형 메모리 모듈(STACKED MEMORY MODULE FOR EASY MAINTENANCE BY FITTING A LEAD OF A MEMORY CHIP TO A LEAD CLAMPERS),에스케이하이닉스 주식회사(경기도 이천시...),1998.02.10,취하(심사미청구)
반도체 패키지와 그 제조방법(SEMICONDUCTOR PACKAGE AND A METHOD FOR FABRICATING THEREOF FOR IMPROVING RELIABILITY OF A SOLDER WITHOUT AN INNER LEAD),에스케이하이닉스 주식회사(경기도 이천시...),1998.02.09,취하(심사미청구)
반도체 베어칩의 적층구조 및 적층방법(LAYER OF A BARE CHIP AND A METHOD FOR FABRICATING OF THE SAME FOR IMPROVING SPACE UTILIZATION BY CONNECTING RESPECTIVE LEAD LINE TO THE SAME PAD ON A PRINTED CIRCUIT BOARD),에스케이하이닉스 주식회사(경기도 이천시...),1998.02.05,취하(심사미청구)
반도체 패키지(SEMICONDUCTOR PACKAGE FOR FABRICATING A THIN PACKAGE BY CONNECTING A BOND PAD OF A CHIP WITH A LEAD FRAME USING A TAPE HAVING A CIRCUIT PATTERN),에스케이하이닉스 주식회사(경기도 이천시...),1998.02.09,거절결정(일반)
"고메모리용 세라믹 패키지 및 그의 제조 방법(HIGH MEMORY CERAMIC PACKAGE AND A MANUFACTURING METHOD THEREOF, PARTICULARLY CONCERNED WITH MANUFACTURING A SEMICONDUCTOR CHIP WITH HUGE MEMORY CAPACITANCE BY FORMING AN OPENING ON A CERAMIC BODY, MOUNTING A BONDING WIRE THROUGH THE OPENING TO CONNECT A CENTER BONDING PAD WITH LEADS OF A BODY)",에스케이하이닉스 주식회사(경기도 이천시...),1997.12.31,취하(심사미청구)
리드 온 칩 패키지용 테이프의 접착강도 측정장치(ADHESION STRENGTH MEASURING APPARATUS OF A LEAD ON CHIP PACKAGE TAPE FOR MEASURING ADHESION STRENGTH OF THE TAPE USING A POINTER OR A NUMERICAL VALUE ON A GAUGE),에스케이하이닉스 주식회사(경기도 이천시...),1997.12.29,취하(심사미청구)
"집적 회로 칩이 패키징 및 실장된 반도체 장치(SEMICONDUCTOR DEVICE HAVING A PACKAGED OR A MOUNTED INTEGRATED CIRCUIT, PARTICULARLY CONCERNED WITH PREVENTING GOLD WIRE SWEEPING EFFECT AND LEAD COPLANARITY INSTABILITY BY ELIMINATING A PROCESS USING EPOXY MOLD COMPOUND AND GOLD WIRING)",에스케이하이닉스 주식회사(경기도 이천시...),1997.12.29,거절결정(일반)
"엘 오 씨(LOC) 구조의 볼 그리드 어레이 패키지 및 그의제조방법(BGA(BALL GRID ARRAY) PACKAGE OF LOC(LEAD ON CHIP) STRUCTURE AND A MANUFACTURING METHOD THEREOF, ESPECIALLY CAPABLE OF WIRE-BONDING A CHIP HAVING A CENTER BONDING PAD)",에스케이하이닉스 주식회사(경기도 이천시...),1997.12.22,취하(심사미청구)
적층형 반도체 패키지 및 그의 제작방법(LAMINATION TYPE SEMICONDUCTOR PACKAGE AND A MANUFACTURING METHOD THEREOF FOR IMPROVING TRANSMISSION OF AN ELECTRIC SIGNAL BETWEEN LEADS OF EACH PACKAGE BY INCREASING CONTACT AREA BETWEEN OUTLEADS AND A SIDE RAIL),에스케이하이닉스 주식회사(경기도 이천시...),1997.12.23,거절결정(일반)
"칩스케일패키지및그제조방법(CHIP SCALE PACKAGE AND A MANUFACTURING METHOD THEREOF, PARTICULARLY FOR PROPERLY IMPLEMENTING A STACK PACKAGE BY FORMING A VIA HOLE COMMUNICATED WITH LEADS IN UPPER/LOWER SIDES OF A PACKAGE)",에스케이하이닉스 주식회사(경기도 이천시...),1997.12.20,거절결정(일반)
"리드 온 칩 패키지에서의 접착력 강화방법(METHOD FOR STRENGTHENING ADHESIVENESS IN A LEAD-ON-CHIP PACKAGE, ESPECIALLY CONCERNED WITH INCREASING BONDING FORCE OF A METAL WIRE BY REMOVING IMPURITIES LEFT ON A BONDING PAD)",에스케이하이닉스 주식회사(경기도 이천시...),1997.12.16,취하(심사미청구)
"스몰 다이 패드 패키지용 리드 프레임 제조방법(METHOD OF FABRICATING A LEAD FRAME FOR A SMALL DIE PAD PACKAGE, PARTICULARLY RELATED TO COMPATIBLY USING THE LEAD FRAME REGARDLESS OF CHIP SIZE)",에스케이하이닉스 주식회사(경기도 이천시...),1997.11.27,취하(심사미청구)
적층가능한 비지에이 패키지(STACKABLE BALL GRID ARRAY PACKAGE PARTICULARLY FOR INCREASING CAPACITY OF THE PACKAGE BY FORMING A PLURALITY OF LEADS AND SOLDER BALLS ON AN UPPER SUBSTRATE AND A LOWER SUBSTRATE),에스케이하이닉스 주식회사(경기도 이천시...),1997.08.20,취하(심사미청구)
